horizon,offset,n,r2_mean,r2_q_raw,r2_q_mz,r2_har3,r2_har4,r2_harq,r2_harqts,delta_qmz_qraw,delta_harqts_har4
22,21,143,0.0,0.06437700469447316,0.09535866934906467,0.038653324176340154,0.023737080465303095,0.0744174176609137,0.06298359912277329,0.030981664654591512,0.0392465186574702
66,0,47,0.0,-0.2053709016077956,-0.010355136109203578,-0.021743451695534155,-0.0344886027260356,-0.031930795800899414,-0.037890835860153294,0.195015765498592,-0.0034022331341176937
66,1,47,0.0,-0.16414598416940196,0.00942198576403297,-0.007875650467162432,-0.023447419831022165,-0.008720753341621146,-0.009367121712088755,0.17356796993343493,0.01408029811893341
66,2,47,0.0,-0.17238629551592655,0.003620776505667833,-0.009905774043318827,-0.02112882024425966,-0.011616861171273474,-0.013545175367150719,0.17600707202159438,0.0075836448771089415
66,3,47,0.0,-0.1744927997477661,0.0042875450218995415,-0.011035156344185282,-0.029545492657284678,-0.01357308009220426,-0.01141496954645449,0.17878034476966564,0.018130523110830188
66,4,47,0.0,-0.14293680558421928,0.00913124563237988,0.004492255312379845,-0.014777644985859428,0.0004093072036881473,-0.003799478920488264,0.15206805121659916,0.010978166065371164
66,5,47,0.0,-0.1399036298243186,0.02328496092076815,0.022317466877469716,0.004317111465625967,0.021121352610494526,0.01641197923849891,0.16318859074508674,0.012094867772872941
66,6,47,0.0,-0.143579085942926,0.021438585288269474,0.007575452800997473,-0.010123911991072543,0.011362923999085117,0.017817482392006756,0.16501767123119548,0.0279413943830793
66,7,47,0.0,-0.14121620732925177,0.016251054489158534,0.03212262276126132,0.01582723358146909,0.01860245300092378,0.009719536193019462,0.1574672618184103,-0.006107697388449629
66,8,47,0.0,-0.11701319024821877,0.016601508076676263,0.026651933120873328,0.010468671476134839,0.014226666807003463,0.00978010416651498,0.13361469832489503,-0.0006885673096198586
66,9,47,0.0,-0.12204231872704474,0.017793883990424586,0.020915126276254137,0.005082688573722072,0.012564729518169226,0.011102544222766686,0.13983620271746933,0.006019855649044614
66,10,47,0.0,-0.21340416256742234,0.013205891605382991,0.006499130899495165,-0.008869256086067256,-0.002336550921494096,-0.02100114218626903,0.22661005417280533,-0.012131886100201772
66,11,47,0.0,-0.16396830926683048,0.009547511807246889,0.011588764263542495,-0.0031636133013583922,0.001583007023062688,-0.021297516877731626,0.17351582107407737,-0.018133903576373234
66,12,47,0.0,-0.13960112934311253,0.007631088056365587,-0.004001539896459239,-0.019432131889403514,-0.007542902387109196,-0.017347980506476013,0.14723221739947812,0.0020841513829275016
66,13,47,0.0,-0.1346102837881631,0.0027297263920690318,-0.00393843316030873,-0.01727167415765951,-0.009507658820515186,-0.021283184935252164,0.13734001018023212,-0.004011510777592653
66,14,47,0.0,-0.14593062275055235,0.002398793922886888,-0.004605160948950804,-0.017659879610029572,-0.009035120156340115,-0.019993088411996984,0.14832941667343924,-0.0023332088019674124
66,15,47,0.0,-0.14158794616285975,-0.0003801518677453153,0.0019412518819144076,-0.010204405958770701,-0.005852476144762253,-0.02544142613905853,0.14120779429511443,-0.01523702018028783
66,16,47,0.0,-0.13879050477939003,0.0019946359053785168,-0.006008705965136363,-0.018387015550578978,-0.01004730628144479,-0.022791785222863847,0.14078514068476855,-0.0044047696722848695
66,17,47,0.0,-0.19470910926307794,-0.004568717149272539,-0.0017513366267984942,-0.013797922736313417,-0.011604267307965488,-0.049342408038236085,0.1901403921138054,-0.03554448530192267
66,18,47,0.0,-0.12473599021724358,0.0056336696151260135,1.844723602018039e-05,-0.011574966281554744,-0.0013410207387574147,-0.01817715454646951,0.1303696598323696,-0.006602188264914766
66,19,47,0.0,-0.1022766265282522,0.012381245477465663,0.007341939027650124,-0.0038114134802731403,0.008923326757310557,-0.008484259459014654,0.11465787200571786,-0.004672845978741513
66,20,47,0.0,-0.013722837377553532,0.04497035723748577,0.0611415338173662,0.05196571824461538,0.06419066054568867,0.05671913179425603,0.0586931946150393,0.0047534135496406504
66,21,47,0.0,0.014538793916528348,0.06146075699725273,0.09180631808576045,0.08367803770481941,0.09558313204765412,0.09247620374367072,0.04692196308072438,0.008798166038851307
