check,pass,detail
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:30,True,22 & HAR + option + term vs HAR(4) & HAC & 21 & 1.60 & 0.110 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:31,True,22 & HAR + option + term vs HAR(4) & HAC & 27 & 1.51 & 0.131 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:32,True,22 & HAR + option + term vs HAR(4) & HAC & 44 & 1.34 & 0.180 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:33,True,22 & HAR + option + term vs HAR(4) & circular_block_bootstrap & 21 &  & 0.093 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:34,True,22 & HAR + option + term vs HAR(4) & circular_block_bootstrap & 27 &  & 0.111 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:35,True,22 & HAR + option + term vs HAR(4) & circular_block_bootstrap & 44 &  & 0.169 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:37,True,66 & MZ option vs raw option & HAC & 65 & 2.35 & 0.019 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:38,True,66 & MZ option vs raw option & HAC & 71 & 2.33 & 0.020 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:39,True,66 & MZ option vs raw option & HAC & 132 & 2.20 & 0.028 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:40,True,66 & MZ option vs raw option & circular_block_bootstrap & 65 &  & 0.020 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:41,True,66 & MZ option vs raw option & circular_block_bootstrap & 71 &  & 0.025 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:42,True,66 & MZ option vs raw option & circular_block_bootstrap & 132 &  & 0.024 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:43,True,66 & MZ option vs HAR(4) & HAC & 65 & 1.31 & 0.189 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:44,True,66 & MZ option vs HAR(4) & HAC & 71 & 1.34 & 0.181 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:45,True,66 & MZ option vs HAR(4) & HAC & 132 & 1.47 & 0.142 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:46,True,66 & MZ option vs HAR(4) & circular_block_bootstrap & 65 &  & 0.161 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:47,True,66 & MZ option vs HAR(4) & circular_block_bootstrap & 71 &  & 0.149 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:48,True,66 & MZ option vs HAR(4) & circular_block_bootstrap & 132 &  & 0.125 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:49,True,66 & HAR + option + term vs HAR(4) & HAC & 65 & 1.12 & 0.263 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:50,True,66 & HAR + option + term vs HAR(4) & HAC & 71 & 1.11 & 0.267 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:51,True,66 & HAR + option + term vs HAR(4) & HAC & 132 & 1.08 & 0.279 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:52,True,66 & HAR + option + term vs HAR(4) & circular_block_bootstrap & 65 &  & 0.248 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:53,True,66 & HAR + option + term vs HAR(4) & circular_block_bootstrap & 71 &  & 0.265 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:54,True,66 & HAR + option + term vs HAR(4) & circular_block_bootstrap & 132 &  & 0.282 \\
table fragment nonempty table_s7_calibration_diagnostics_v21.tex,True,418
LaTeX row terminator table_s7_calibration_diagnostics_v21.tex:3,True,Model & Mean forecast/mean RV & Bias & Bias share & Corr. & Eval. slope & OOS $R^2$ \\
LaTeX row terminator table_s7_calibration_diagnostics_v21.tex:5,True,Raw option & 1.431 & -0.003370 & 0.061 & 0.245 & 0.340 & -0.204 \\
LaTeX row terminator table_s7_calibration_diagnostics_v21.tex:6,True,MZ option & 0.883 & 0.000917 & 0.006 & 0.207 & 0.771 & 0.063 \\
LaTeX row terminator table_s7_calibration_diagnostics_v21.tex:7,True,HAR(4) & 0.887 & 0.000884 & 0.005 & 0.213 & 0.496 & 0.025 \\
LaTeX row terminator table_s7_calibration_diagnostics_v21.tex:8,True,HAR+option+term & 0.835 & 0.001287 & 0.011 & 0.237 & 0.653 & 0.059 \\
table fragment nonempty table_s8_scale_invariance_v21.tex,True,155
table fragment nonempty table_s9_calendar_scaling_v21.tex,True,705
LaTeX row terminator table_s9_calendar_scaling_v21.tex:3,True,$h$ & Model & Trading-day scaling & Calendar-day scaling & Difference \\
LaTeX row terminator table_s9_calendar_scaling_v21.tex:5,True,5 & Raw option & 0.352 & 0.342 & -0.010 \\
